url,groundtruth_year,class,object_name,license,last_checked_on
https://upload.wikimedia.org/wikipedia/commons/thumb/f/fb/1888_Flocken_Elektrowagen_sw.jpg/800px-1888_Flocken_Elektrowagen_sw.jpg,1888,cars,"""Flocken Elektrowagen""","""CC BY 3.0""",2024-05-07
https://upload.wikimedia.org/wikipedia/commons/thumb/f/f0/1888_Flocken_Elektrowagen_offen_sw.jpg/800px-1888_Flocken_Elektrowagen_offen_sw.jpg,1888,cars,"""Flocken Elektrowagen""","""CC BY 3.0""",2024-05-07
https://upload.wikimedia.org/wikipedia/commons/thumb/8/8c/1888_Flocken_Elektrowagen.jpg/800px-1888_Flocken_Elektrowagen.jpg,1888,cars,"""Flocken Elektrowagen""","""CC BY-SA 3.0""",2024-05-07
https://upload.wikimedia.org/wikipedia/commons/d/d4/1895_De_La_Vergne_6-pass_Hunting_Trap.jpg,1895,cars,"""De La Vergne""","""Public domain""",2024-05-07
https://upload.wikimedia.org/wikipedia/commons/thumb/1/1d/1897_Peugeot_Type_15_Pheaton_photo_3.JPG/800px-1897_Peugeot_Type_15_Pheaton_photo_3.JPG,1897,cars,"""Peugeot Type 15""","""CC0""",2024-05-07
https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/1901_Peugeot_Type_36_Voiturette_photo_3.JPG/800px-1901_Peugeot_Type_36_Voiturette_photo_3.JPG,1901,cars,"""Peugeot Type 36""","""CC0""",2024-05-07
https://upload.wikimedia.org/wikipedia/commons/thumb/7/74/1901_Peugeot_Type_36_Voiturette_photo_2.JPG/800px-1901_Peugeot_Type_36_Voiturette_photo_2.JPG,1901,cars,"""Peugeot Type 36""","""CC0""",2024-05-07
https://upload.wikimedia.org/wikipedia/commons/9/9d/1901_Stoewer_10_PS.png,1901,cars,"""Stoewer 10 PS""","""Public domain""",2024-05-07
https://upload.wikimedia.org/wikipedia/commons/thumb/1/11/1902_Mercedes_Simplex_40_PS_IMG_3261_-_Flickr_-_nemor2.jpg/800px-1902_Mercedes_Simplex_40_PS_IMG_3261_-_Flickr_-_nemor2.jpg,1902,cars,"""Mercedes Simplex""","""CC BY 2.0""",2024-05-07
https://upload.wikimedia.org/wikipedia/commons/thumb/0/0e/1902_Mercedes_Simplex_40_PS_IMG_3252_-_Flickr_-_nemor2.jpg/800px-1902_Mercedes_Simplex_40_PS_IMG_3252_-_Flickr_-_nemor2.jpg,1902,cars,"""Mercedes Simplex""","""CC BY 2.0""",2024-05-07
https://upload.wikimedia.org/wikipedia/commons/thumb/9/9d/1902_Mercedes_Simplex_40_PS_IMG_3289_-_Flickr_-_nemor2.jpg/800px-1902_Mercedes_Simplex_40_PS_IMG_3289_-_Flickr_-_nemor2.jpg,1902,cars,"""Mercedes Simplex""","""CC BY 2.0""",2024-05-07
